symbol,entry_date,entry_price,exit_date,exit_price,quantity,exit_reason,pnl,r_multiple
THYAO,2006-01-26 00:00:00+00:00,0.9709096138162029,2006-02-01 00:00:00+00:00,0.9414114801675673,16716,SIGNAL_EXIT,-525.0571614776254,-0.5533061029735244
TUPRS,2006-02-27 00:00:00+00:00,0.6377404009816932,2006-03-01 00:00:00+00:00,0.6246106121695973,24453,SIGNAL_EXIT,-351.9309951467676,-0.5855530180345657
KCHOL,2006-03-14 00:00:00+00:00,3.9239201694041665,2006-03-23 00:00:00+00:00,3.8181798156972087,3371,SIGNAL_EXIT,-382.54935139593,-0.37971736201802564
EREGL,2006-03-24 00:00:00+00:00,0.1690712421095042,2006-03-27 00:00:00+00:00,0.16584966686279978,95965,SIGNAL_EXIT,-341.2991535795172,-0.45319261301469144
ASELS,2006-03-17 00:00:00+00:00,0.22097397849149353,2006-04-06 00:00:00+00:00,0.2390966592771686,61938,TARGET,1093.9867473410268,0.9966572055163174
ARCLK,2006-03-31 00:00:00+00:00,5.9118318738165865,2006-04-20 00:00:00+00:00,6.630391800588409,1909,TARGET,1347.787795212971,1.583790173737899
TCELL,2006-04-20 00:00:00+00:00,3.3299582611981675,2006-04-21 00:00:00+00:00,3.2888274323396893,4693,SIGNAL_EXIT,-224.088941092612,-0.2635065818037389
TOASO,2006-05-18 00:00:00+00:00,1.0950965894054265,2006-05-18 00:00:00+00:00,1.126563968271373,12974,STOP,379.4339493314892,-0.9130458208583567
TOASO,2006-06-29 00:00:00+00:00,1.0553780539393918,2006-07-13 00:00:00+00:00,1.0373180371936574,8977,SIGNAL_EXIT,-180.91090313655877,-0.19773538873055538
TOASO,2006-09-28 00:00:00+00:00,1.1688594654196527,2006-10-11 00:00:00+00:00,1.2976262944971189,12226,TARGET,1544.1479974003596,2.2254444409290257
THYAO,2007-08-23 00:00:00+00:00,1.0051771296858787,2007-08-24 00:00:00+00:00,0.9984663940851175,10593,SIGNAL_EXIT,-92.31141806617052,-0.08584417472548743
TCELL,2007-10-26 00:00:00+00:00,5.124540267130516,2007-11-07 00:00:00+00:00,5.4091969215981885,2184,SIGNAL_EXIT,598.6844513372143,0.8976531620620845
SAHOL,2007-11-30 00:00:00+00:00,3.802837405800819,2007-12-03 00:00:00+00:00,3.741907500284021,3683,SIGNAL_EXIT,-252.19213750747622,-0.28542973215610185
TCELL,2008-01-28 00:00:00+00:00,5.172885630118397,2008-01-29 00:00:00+00:00,5.16771532963852,1682,SIGNAL_EXIT,-26.08933622146469,-0.0911769885624614
TCELL,2008-02-13 00:00:00+00:00,5.462953384787167,2008-02-21 00:00:00+00:00,5.505790172815323,1969,SIGNAL_EXIT,62.748179562519,0.06504395250876203
KCHOL,2009-06-15 00:00:00+00:00,1.5899519278267675,2009-06-24 00:00:00+00:00,1.5517078330899619,7899,SIGNAL_EXIT,-326.9060747775111,-0.46991463904152775
SAHOL,2009-06-15 00:00:00+00:00,2.6061364967823026,2009-07-06 00:00:00+00:00,2.6197394609840767,5037,SIGNAL_EXIT,42.19539348506805,0.06453963652033258
TOASO,2009-08-12 00:00:00+00:00,0.917020081465836,2009-08-13 00:00:00+00:00,0.9741661496173927,10376,SIGNAL_EXIT,573.3246548068328,1.5469437588576942
TOASO,2009-10-13 00:00:00+00:00,1.2528300961168108,2009-10-27 00:00:00+00:00,1.4086356900634196,8182,TARGET,1253.0252566086256,1.2034732808758895
ASELS,2009-11-10 00:00:00+00:00,0.16572080277610865,2009-11-11 00:00:00+00:00,0.17960043243784135,82168,TARGET,1112.0870547901923,0.9237844244441806
EREGL,2009-11-13 00:00:00+00:00,0.3331963301718926,2009-11-16 00:00:00+00:00,0.34232872140407566,42515,SIGNAL_EXIT,359.5436656685106,0.4161640502244094
THYAO,2010-03-03 00:00:00+00:00,3.1694990633726117,2010-03-04 00:00:00+00:00,3.1967769906520846,3690,SIGNAL_EXIT,77.16399302190621,0.08473976737485976
GARAN,2010-05-03 00:00:00+00:00,4.745004182338715,2010-05-04 00:00:00+00:00,4.561565061897003,3247,STOP,-625.8452544102711,-1.0639692649925017
AKBNK,2010-04-27 00:00:00+00:00,4.078213777542114,2010-05-07 00:00:00+00:00,3.9151303746177497,3683,STOP,-630.0756594828381,-1.0617650727921082
TOASO,2010-05-28 00:00:00+00:00,1.8416244354844091,2010-05-31 00:00:00+00:00,1.806026361823082,5944,SIGNAL_EXIT,-233.27658618212445,-0.2356706803333782
TUPRS,2010-06-03 00:00:00+00:00,1.425509575907736,2010-06-09 00:00:00+00:00,1.4596870620250704,10263,SIGNAL_EXIT,321.1527669270981,0.31093669658806566
TOASO,2010-06-16 00:00:00+00:00,1.8416244354844091,2010-06-17 00:00:00+00:00,1.907298589706421,6705,SIGNAL_EXIT,415.20867517468287,0.7362824662141665
SISE,2010-11-23 00:00:00+00:00,0.9975638979971407,2010-11-23 00:00:00+00:00,0.9982997290607339,21678,STOP,-27.314985910787072,1.0200787893359413
TUPRS,2010-12-01 00:00:00+00:00,1.7248666285872458,2010-12-02 00:00:00+00:00,1.8180814503431322,12678,SIGNAL_EXIT,1136.8600144764496,1.6775285693274289
ARCLK,2010-12-03 00:00:00+00:00,5.22654709482193,2010-12-10 00:00:00+00:00,4.906470117330551,3313,SIGNAL_EXIT,-1093.985712452797,-1.2897288391407227
TOASO,2010-12-01 00:00:00+00:00,2.7776423041820526,2010-12-10 00:00:00+00:00,2.6938476004600527,5955,SIGNAL_EXIT,-531.5801830466517,-0.35936647980708397
THYAO,2010-12-15 00:00:00+00:00,3.6224204031808203,2010-12-16 00:00:00+00:00,3.5492083773603875,3976,SIGNAL_EXIT,-319.60541069347346,-0.470089785222038
SAHOL,2011-01-05 00:00:00+00:00,4.764712174415588,2011-01-06 00:00:00+00:00,4.786032662630081,4286,SIGNAL_EXIT,50.44512011573897,0.07425375866501882
ASELS,2011-03-11 00:00:00+00:00,0.39685036888718606,2011-03-11 00:00:00+00:00,0.39280148450067126,38145,STOP,-184.565964871088,-1.2559844730159186
KCHOL,2011-03-11 00:00:00+00:00,4.534409187555313,2011-04-04 00:00:00+00:00,4.88675770757072,3326,TARGET,1140.5763764780568,0.9730863289717772
SISE,2011-08-25 00:00:00+00:00,1.3755842131376266,2011-08-26 00:00:00+00:00,1.3523963452577592,6402,SIGNAL_EXIT,-165.91326170176035,-0.2652885089961693
TUPRS,2011-12-01 00:00:00+00:00,2.1081576150655743,2011-12-16 00:00:00+00:00,1.9487307479381561,6705,SIGNAL_EXIT,-1096.1585805632803,-0.743023232459944
TOASO,2012-02-29 00:00:00+00:00,2.6637176105976104,2012-03-13 00:00:00+00:00,2.675362480044365,5393,SIGNAL_EXIT,34.00712199751615,0.04122198175536071
SAHOL,2012-05-17 00:00:00+00:00,4.9036632986068724,2012-05-21 00:00:00+00:00,4.669343657016754,3882,SIGNAL_EXIT,-946.7912616545691,-0.8191954128751318
ASELS,2012-06-04 00:00:00+00:00,0.541653361737728,2012-06-05 00:00:00+00:00,0.553658440887928,29591,SIGNAL_EXIT,322.83092558207136,0.39600930696050246
SAHOL,2012-05-30 00:00:00+00:00,4.7685750553607935,2012-06-06 00:00:00+00:00,4.696333443641663,2956,SIGNAL_EXIT,-241.52447376480086,-0.28111333323682947
GARAN,2012-09-24 00:00:00+00:00,5.149750808000564,2012-10-10 00:00:00+00:00,5.55002567841726,4913,TARGET,1913.9824364794513,6.635090810482376
ARCLK,2012-10-11 00:00:00+00:00,7.2611899874210355,2012-10-19 00:00:00+00:00,7.844400778655647,2441,TARGET,1386.7447943436964,1.4789059849442114
TCELL,2012-10-18 00:00:00+00:00,6.003659795522689,2012-11-07 00:00:00+00:00,6.053192897796631,4332,SIGNAL_EXIT,162.34711318325571,0.5319620766805657
AKBNK,2013-01-29 00:00:00+00:00,5.479532639980316,2013-01-30 00:00:00+00:00,5.1602579929828645,3246,SIGNAL_EXIT,-1070.9022645483237,-1.0355916832280927
TCELL,2013-02-08 00:00:00+00:00,6.3094022662639615,2013-02-11 00:00:00+00:00,6.275328897953034,2603,SIGNAL_EXIT,-121.45103293380453,-0.11160758263700016
ARCLK,2013-02-21 00:00:00+00:00,7.842084365844727,2013-02-22 00:00:00+00:00,7.689167637825013,1761,SIGNAL_EXIT,-296.63689282117775,-0.6214475853481923
SISE,2013-02-28 00:00:00+00:00,1.4450748031139373,2013-03-01 00:00:00+00:00,1.443630450487137,10322,SIGNAL_EXIT,-44.72582344150578,-0.04264767532521896
TCELL,2013-05-01 00:00:00+00:00,6.17042871952057,2013-05-02 00:00:00+00:00,6.275328897953034,3530,SIGNAL_EXIT,326.36410547691776,0.4088274782675912
ARCLK,2013-06-10 00:00:00+00:00,9.269561282157898,2013-06-11 00:00:00+00:00,9.071311608314515,1049,SIGNAL_EXIT,-227.2034835238137,-0.5194020307817346
TOASO,2013-06-24 00:00:00+00:00,5.000850749731064,2013-06-25 00:00:00+00:00,4.892203134059907,1703,SIGNAL_EXIT,-201.87476025207798,-0.4598490330594576
SAHOL,2013-07-01 00:00:00+00:00,6.987616722822189,2013-07-02 00:00:00+00:00,6.94658152461052,1421,SIGNAL_EXIT,-78.11151236838305,-0.08756254309208117
THYAO,2013-06-26 00:00:00+00:00,7.017535086393356,2013-07-09 00:00:00+00:00,7.743580385313658,1659,TARGET,1180.0204603412203,1.0223238972682747
THYAO,2013-09-11 00:00:00+00:00,6.93934573827734,2013-09-12 00:00:00+00:00,6.795714453972568,1853,SIGNAL_EXIT,-291.5998363529816,-0.25877698202538907
THYAO,2013-09-19 00:00:00+00:00,7.6235067551069,2013-10-11 00:00:00+00:00,7.557302830587279,2061,SIGNAL_EXIT,-167.73393699105327,-0.08350893838875778
TCELL,2013-11-06 00:00:00+00:00,6.865297447453006,2013-11-08 00:00:00+00:00,6.718598423318004,3829,STOP,-613.7233007021059,-1.1182161765862666
EREGL,2014-01-08 00:00:00+00:00,0.5441682394919517,2014-02-03 00:00:00+00:00,0.5625881205679161,27287,SIGNAL_EXIT,472.42323412288715,0.5947669870562948
EREGL,2014-03-07 00:00:00+00:00,0.5378406593217117,2014-03-10 00:00:00+00:00,0.5267678201325113,42373,SIGNAL_EXIT,-514.3000700638986,-0.5245335524714042
EREGL,2014-03-12 00:00:00+00:00,0.5483866345503483,2014-03-14 00:00:00+00:00,0.5394102964954066,42320,SIGNAL_EXIT,-425.91419260698603,-0.5336048803908715
ASELS,2014-08-15 00:00:00+00:00,1.0998345719759668,2014-08-18 00:00:00+00:00,1.0845427016893003,23577,SIGNAL_EXIT,-412.0374887299404,-1.1700538179383722
TUPRS,2014-08-20 00:00:00+00:00,3.0279551289763336,2014-08-21 00:00:00+00:00,3.0559533067304474,8464,SIGNAL_EXIT,185.482375511001,0.6043032966961134
TCELL,2014-09-04 00:00:00+00:00,7.171038042062918,2014-09-10 00:00:00+00:00,7.052803876870362,3621,SIGNAL_EXIT,-479.6304437507024,-1.0836532550834879
ARCLK,2014-10-16 00:00:00+00:00,9.745110879083228,2014-10-17 00:00:00+00:00,9.970903661736227,2498,SIGNAL_EXIT,514.7797667442246,0.7437645304174278
KCHOL,2014-12-22 00:00:00+00:00,8.85987213508937,2014-12-31 00:00:00+00:00,8.81459391437364,2790,SIGNAL_EXIT,-175.6379960748891,-0.1597695344483819
THYAO,2015-01-21 00:00:00+00:00,9.441420018487408,2015-02-02 00:00:00+00:00,9.032362391689853,2001,STOP,-855.4903498246713,-1.056835588739596
GARAN,2015-02-13 00:00:00+00:00,6.617228228795991,2015-02-16 00:00:00+00:00,6.660318558083208,2632,SIGNAL_EXIT,78.4672435408902,0.10797368831559921
GARAN,2016-05-25 00:00:00+00:00,5.678969502652921,2016-05-26 00:00:00+00:00,5.5193670826059265,3302,SIGNAL_EXIT,-563.9840983997019,-0.6583569234545966
KCHOL,2016-05-25 00:00:00+00:00,10.150782846450806,2016-05-27 00:00:00+00:00,10.049960888500408,2141,SIGNAL_EXIT,-259.10960430833074,-0.3167537015565804
KCHOL,2016-06-06 00:00:00+00:00,10.052451430280298,2016-06-07 00:00:00+00:00,10.042405727662336,1986,SIGNAL_EXIT,-59.859151714947075,-0.06553192044595252
ASELS,2016-07-28 00:00:00+00:00,2.2467942457135837,2016-07-29 00:00:00+00:00,2.2804032826910627,8036,SIGNAL_EXIT,233.70166181276,0.2676229959954765
EREGL,2016-09-06 00:00:00+00:00,1.2451833226518443,2016-09-09 00:00:00+00:00,1.2066473271897267,13727,SIGNAL_EXIT,-562.6398890388627,-0.633470599637209
EREGL,2016-09-22 00:00:00+00:00,1.1731919135953348,2016-09-23 00:00:00+00:00,1.1773467516303062,18579,SIGNAL_EXIT,33.52207799050666,0.03273165741737851
SISE,2016-09-23 00:00:00+00:00,2.4950042826652274,2016-09-26 00:00:00+00:00,2.303022190793786,10130,SIGNAL_EXIT,-1993.3825988338394,-2.560660888966642
TOASO,2016-09-30 00:00:00+00:00,10.42403738009891,2016-10-03 00:00:00+00:00,10.538388610111582,2124,SIGNAL_EXIT,198.35781974370548,0.32038801945764755
EREGL,2016-10-06 00:00:00+00:00,1.1785247417264817,2016-10-07 00:00:00+00:00,1.1427189837234004,16579,SIGNAL_EXIT,-632.107561657318,-0.706426519745302
SISE,2016-10-07 00:00:00+00:00,2.385574736767432,2016-10-10 00:00:00+00:00,2.4123427195327123,9424,SIGNAL_EXIT,207.04589547182695,0.25028385233631945
EREGL,2016-10-14 00:00:00+00:00,1.143862198801582,2016-10-17 00:00:00+00:00,1.148046187313412,16865,SIGNAL_EXIT,31.909931320184114,0.03570173415436268
KCHOL,2017-06-05 00:00:00+00:00,12.531986089747118,2017-06-27 00:00:00+00:00,12.650592926025391,1999,SIGNAL_EXIT,186.75509026773943,0.25816728582393067
ARCLK,2017-07-12 00:00:00+00:00,22.029921420273453,2017-07-18 00:00:00+00:00,23.270489984266348,1136,TARGET,1357.824621340369,1.8770017360201836
ARCLK,2017-08-25 00:00:00+00:00,20.81648375313878,2017-08-28 00:00:00+00:00,20.983486542815648,1114,SIGNAL_EXIT,139.47594079034025,0.1681057840688153
SISE,2017-10-03 00:00:00+00:00,3.4090096190073575,2017-10-04 00:00:00+00:00,3.4220150675461545,7461,SIGNAL_EXIT,46.067376361588686,0.05934174112323007
ASELS,2017-09-29 00:00:00+00:00,6.347124160384644,2017-10-09 00:00:00+00:00,6.077907672630125,3066,STOP,-863.5128990553785,-1.0581025528652284
THYAO,2017-10-12 00:00:00+00:00,8.874543599380644,2017-10-19 00:00:00+00:00,9.646375125746843,1510,TARGET,1137.4990175380171,1.0325067269664006
TUPRS,2017-12-20 00:00:00+00:00,8.477180433153714,2017-12-22 00:00:00+00:00,8.839439487461364,2018,SIGNAL_EXIT,696.0938325930365,0.8223574376273288
TCELL,2018-01-18 00:00:00+00:00,10.727583713389002,2018-01-23 00:00:00+00:00,11.572416881582434,1738,TARGET,1429.5626452861252,1.7004493811820494
TUPRS,2018-02-19 00:00:00+00:00,8.237054281711577,2018-02-20 00:00:00+00:00,8.257897274654644,2855,SIGNAL_EXIT,12.413658159028273,0.013853386589375322
AKBNK,2018-04-19 00:00:00+00:00,6.3411379192027235,2018-04-20 00:00:00+00:00,6.214772918999463,2784,SIGNAL_EXIT,-386.75581633942784,-0.46800976714888926
TUPRS,2018-05-14 00:00:00+00:00,8.567122836112976,2018-05-15 00:00:00+00:00,8.460279959875315,1927,SIGNAL_EXIT,-238.69802769784292,-0.31649420588585486
EREGL,2018-07-04 00:00:00+00:00,3.264436678782702,2018-07-12 00:00:00+00:00,3.05256948625815,4144,STOP,-904.1553193696727,-1.0372922366293915
SAHOL,2019-03-14 00:00:00+00:00,6.3679746223852245,2019-03-15 00:00:00+00:00,6.391336843967438,2754,SIGNAL_EXIT,29.200414459079184,0.0547322398712135
TCELL,2019-02-26 00:00:00+00:00,10.909622140845585,2019-03-18 00:00:00+00:00,10.554547626345144,1563,SIGNAL_EXIT,-588.5299635103111,-0.7456061997165309
TCELL,2019-08-23 00:00:00+00:00,9.705612502288925,2019-08-27 00:00:00+00:00,9.533798910643947,1947,SIGNAL_EXIT,-371.98019695375115,-0.45393265529793975
AKBNK,2020-01-09 00:00:00+00:00,6.391168652078974,2020-01-09 00:00:00+00:00,6.587232304917155,3871,TARGET,708.723010032063,0.4639778577848147
TOASO,2020-02-05 00:00:00+00:00,15.490128235602468,2020-02-10 00:00:00+00:00,14.699241576166596,1120,STOP,-919.6051527573545,-1.0479145739918239
EREGL,2020-03-09 00:00:00+00:00,3.160732724778394,2020-03-09 00:00:00+00:00,3.0448815793324084,4024,STOP,-491.1564012343879,-1.0676021669632054
